tweets,class
"Fav moment in Sepp Blatter vid (0:20): ""We have to clean here first. This has nothing to do with football."" https://t.co/4dhWOK9x2e #irony",irony
'Disrespected the wife of Prophet' - pseudo libtards playing the blasphemy card #Irony https://t.co/WmrEoDfdVe,irony
Do you know that super yeay satisfying feeling when you get to say exactly what you wanted to say in just 140 characters #life #goals #irony,irony
"If you're going to call someone ignorant and stupid on social media, can you at least spell it right? #irony",irony
"Tune in to Nigezie and be treated to Rachel Platten's Fight Song, move to MTV and get Reminisce &amp; Olamide's Local Rapper #Irony #TimesChange",irony
Two recent tweets on sexism have been favorited by Twitter accounts that just send out pictures of half-naked women #irony,irony
@WeirdToBe waise what blocking means to nida is awesome if u remember!! Haha. Any larka wud love to be blocked #Irony,irony
"@JillHS23 He has stated he wants to 'destroy the IS Caliphate'; given the way he is  destroying the #NHS, it might be on the cards #irony",irony
'We shouldn't demonise the Muslim community'..but we are. 'we believe in freedom of speech' but we will shut you down #Irony #CameronsSpeech,irony
"Maybe it's just me, but I'm sure that's not six words....😝 #irony #typicalteacher https://t.co/oOHfP7LORt",irony
this is an actual sign in parking lot of a local #AA meeting. Can you guess which way? #addiction #alcoholism #irony http://t.co/DRVwSiONRX,irony
The first and last shot I got of several hundred Taiwanese teas before someone said #nophotos. #irony https://t.co/hZjQpjY0f0,irony
Head lines http://t.co/TvMkQbtr77 #autocorrect #copywriting #irony #proofreading #SaudiArabia #subediting #typo #UN http://t.co/ZkST04VaG1,irony
"""This is nothing to do with football"" says Blatter, after fake money is thrown at him! Oh the #irony!! #FIFA #ironic http://t.co/9UgY9TddEf",irony
Democracy killed all hope for progress. elections supplant revolt. The dream is dead. #liberty #tlot #irony,irony
I think many ppl Mr.badass included is confusing the character with the man. So I guess media did in fact brain wash him. #irony,irony
#BajrangiBhaijaan 1st movie to watch with my #motherinlaw #happy #irony she shares her birth date with SalmanKhan :),irony
The very reasons #BJP420 didn't let parliament function for nearly 2 terms are reasons opposition is being bedevilled now. #irony,irony
"Repost article @SurfSessionMag :: http://t.co/TnXz15tzBg [ big fright yesterday, #irony today ] #ExtremeSports #surf http://t.co/yDoeoLJNw8",irony
@DrunkAtdisney @YoPaulieNJ Sporting new Tervis from Jim Beam Stillhouse for my 1st physical therapy session #irony http://t.co/ybxArgwEL5,irony
South Carolina top cop helps white supremacist suffering from heat during KKK rally #irony #greatness http://t.co/KLmml3JXZ4,irony
Looks like my PR textbook could have used a copy editor. #EatonCentre #DoubleFatalError #Irony http://t.co/E7v0lKkq8n,irony
"I just looked up some ex girlfriends on Facebook to say to a friend, ""Imagine if I married her"" and they've unfriended me. Rude! #irony",irony
"@ChrisChristie slams @realDonaldTrump 4 McCain comments when he's said worse to our vets. #TellingItLikeItIs #irony 
http://t.co/eSNWEIa8Dz",irony
jb pesy nai thy there was a long #ThingsToDo list and now when i've #Eidi tou koi b cheez yaad nai aa rai except Spectacles :s #Irony,irony
"Camp craft was fun, but now I - a woman who never paints her nails - have 15 bottles of bright-colored nail polish. #irony",irony
"@David_Cameron tells ITV News he will take 10% pay rise: ""The right thing to do is to be paid the rate for the job"" #irony #GPNoDeal #nhs",irony
"@David_Cameron no you're right we shouldn't demonise communties, we should just spy on them &amp; consider them extremists from childhood #irony",irony
@StacyLemongelli @AFTNJ @apurelistener @LarrBello @PAF_AFT @AFTunion thought @GovChristie was dropping #ccs but keeping @PARCCPlace #irony,irony
We select our representatives to find solutions and they go and fight over it in Parliament. ANd not allow laws to be passed #Irony,irony
when you got the best view and the worst feeling at the same time 🌐🇵🇭 #irony #blue #sky #leaving… https://t.co/mXzcmhLVaM,irony
