ID,review_body,sentiment
57223,You have to watch your downloads  very carefully or turn off downloads on your checking accounts.  The investment accounts seem to be ok.,neutral
73413,"Hard  to review. I tried to do my homework and determine compatibility before ordering, with little luck. Think it would be okay if I could download and use it. The audio disks aren't much help without my Mac.",neutral
86608,"This really is a fast way to learn basic french. very easy to understand, gives you the basic tools for basic french. If you need in depth discussions in french, look elsewhere.",neutral
56585,I hate the small font. When I try to make it look bigger it looks worse. The older versions for so professional looking. This version is a big disappointment. Time to move to apple and a different platform.,neutral
35427,"It's ok, after all, it's only windows.",neutral
22190,I hate doing books.  that's all there is to it.,neutral
20103,Appears to be three separate and very different games. Each one is a bit quirky to  access and one of them is difficult to begin play. Once you get it going it's ok.,neutral
29705,I can't wait to download this on my computer.  I have a hard time writing since my stroke and I thought these check writers would make my checks look<br />better.  The program got here within days and was in good condition how it was mailed.,neutral
32257,I've been a Corel user for years. This is a fair version for new users and/or users with limited income.,neutral
19382,Okay still have problems with getting account data that I hoped the new version would resolve.Bank and quicken get out of sync. Have to re-install or delete / add account.,neutral
66144,"I ordered this product for my friend, she says&#34; it is okay&#34;. Well, I will recommend it to other customers.",neutral
103022,"DVD didn't work on the player..<br />huge difference between Webd Premium and Design premium.<br /><br />The price advantage given to student is good, and the activation is fast through their website.<br /><br />OK software overall",neutral
116925,"good product for simply keeping track of expenses, balancing checkbook, getting a good picture of where your money goes (who knew?)",neutral
40149,it's Ok takes some getting use to.  Some hope for a HP 2006 box.,neutral
45336,The product key was difficult to locate..i looked all over and was unable to find the product key..Eventually i used a flash light and a magnifying glass  BEFORE I WAS ABLE TO LOCATE IT.,neutral
12419,It is okay. You get what you pay for.,neutral
74476,This is a very basic program and if you are looking to utilize it for Outlook Mail then you will be disappointed.,neutral
3120,"Its OK.  I had an older version of rosetta stone and even though it was back in 2008, it was much better than this.  Buy the rosetta stone",neutral
23604,Looking for a challenge.  Got bored with it.,neutral
8705,Needs more components otherwise it was ok for the money.,neutral
65546,"Bought this program to replace Microsoft Money which  stopped working after Microsoft stopped making it.  Although, it seems to run OK, I sure miss my old Microsoft Money. Just liked the Microsoft Money format and ease of use much better.",neutral
35862,operating system is just okay,neutral
96337,"I used Windows version for over 10 years and I like the product. For some  reason, the Mac version does not work properly on my MacBook Pro. Not sure if I installed it correctly. Every time I open the program, it has trouble to open the data.",neutral
89913,"The payroll only limit to 3 employees, I had to pay $150 extra to Quickbooks to change to unlimited employees",neutral
5791,I love this program and only because I already had it installed on my computer did I get it to work. I only needed a new disc as a child had broken the old one,neutral
100684,"Has plenty of information and is well organized for reference. However, I assumed (or, maybe I read?)that this was interactive. I have only looked at Quickbooks so far - maybe there is some interaction in the Microsoft Office applications.",neutral
22561,"This is ok, not great. Does the job after a lot of fussing and error messages. Personally, I'd recommend trying a different transfer software.",neutral
123458,"I have Windows 98 SE and this works fairly well (I think) except that I can no longer get Windows to shut down cleanly.     On the plus side, the support has been good via email and they may resolve the issue yet.",neutral
46747,I got the game and everything worked besides sudden strike 3 it wouldnt download at all!! otherwise it was an okay CD. please watch for those problems with getting all games on one disk!,neutral
14610,"Quickbooks is a great product.  HOWEVER, the force you to upgrade after a certain amount of time and that's not cool.  Otherwise I like the product.",neutral
115914,"While Quickbooks is a great system, We had some problems connecting with Point of sale. Several things had to be done manually.",neutral
8948,Good product just took forever to get it.,neutral
99627,The games are okay...  nothing special and not that easy for Dad to use - he was disappointed.  Was hoping for more variety.,neutral
109016,"It took 4 phone calls to outsourcing ,I believe, India to get item fixed so it would not freeze my PC. Could not understand their English until I finally got a supervisor who got problem fixed by taking over my PC",neutral
106736,This program is OK. I guess. I really wish I could run sheets of different labels instead of having to print one at a time. It is not very user friendly although the graphics are ok for what I needed.,neutral
63372,"In Win 7 Ultimate 32 bit it sped past 1st screen and only let me use scrapbook function, even when restarted in Win XP compatibility mode.",neutral
4180,Was delivered and was fine. The three stars are because it was an okay game.,neutral
112852,I have found it very difficult to figure out how to use it. The print in the book that came with it is too small and the tutorial makes no sense to me.,neutral
107311,"There is currently no way to sync your Outlook calendars to anything at all.  Not your iPhone, iCal, Google calendars or Windows Outlook calendars.  This makes it almost useless.",neutral
42530,"I had to get this in order to burn my movies to dvd, otherwise I would not have bought it.  Then I had to also get a burner program, which works OK.  Non of this is as good as my Vista computer.",neutral
66650,Not exactly what I was looking for and really not what I expected for a genealogy program.  I will continue to look at this.,neutral
45987,"Fast service. item well packed and arrived in excellent condition .okay game...........I've played better, looking for more hidden object games, not solving mysteries..",neutral
59382,Images converted to paint by numbers do not look good. I was so disappointed because the sales pitch sounded good.,neutral
50820,"it was okay I thought it would have been better than 7.0. because like to do ironons , pictures ,t-skites",neutral
32300,"Ordered this book, opened the box and realized it was an older version that what I already had. Closed the box, and mailed it back. Nothing wrong with the order, just an honest mistake. Sender was very efficient getting this to me!",neutral
91151,The Adobe Photopshop is just ok. I think that the old Version 3 was easier to use. I may change my mind on this after it is updated!,neutral
85773,My husband says it' ok!  He's not using it though.  I can't say much more since I haven't ued it.,neutral
98971,I purchased it to replace Parsons Techololgy address book 6.0.  I do not like it as well as address book 6.0,neutral
79164,"Every 3 years I am told by Intuit I must replace Qickbooks.  All they do is shuffle necessary information (i.e. Find, Reg) from the right side of the page to the left. Very confusing.  My CPA insists I use it.",neutral
70376,"OK product, I haven't use it in a while, just catching up on my old reviews, don't remember why I stopped using it, do recall that it did work fine when I did.",neutral
74563,This is more for a kid going into Kindergarten or first grade readers. It is very repetitive and is ok...,neutral
82841,This program is ok. It's kind of hard to grasp if you're just getting into production. I wish it had more intrumental options,neutral
99787,I was disappointed in the software and how it performed on Windows 7.  I think there should be detail as to which platform works best included in the description.  The choices for badges was okay,neutral
26830,I wanted for database and is working ok and is easy to use.,neutral
67974,"Item didn't look like picture .... I bought this kind of wallets somewhere else a few times already and they looked all the same, this one looks very cheap.",neutral
5933,Upgrade from Windows Vista. Installation took a several hours with some problems; still working those.,neutral
70528,had difficulty creating my own logo. Ok if you use their templates. Maybe I am not savy enough to use this program,neutral
30952,Loaded &#34;Classic Shell&#34; to get the old look.,neutral
46284,It's okay.  The only thing I regret... both my laptops slow down after installing Norton 360. I would try it again in the future.,neutral
71977,With a fairly long learning curve one can put a somewhat acurate renering of the design vision. This version has many limitations and is for a general idea more than a final design.,neutral
113359,IT's an OK product. I have had difficulty installing it and it didn't come with SQL Server Management Studio as I expected.,neutral
5455,INSTALL PROCESS IS TERRIBLE!!  DOES NOT COME WITH CD.  HAVE TO DOWNLOAD S/W.  PROTECTION SEEMS OK BUT NOT AS GOOD AS BITDEFENDER.,neutral
60248,They are not the hercule hooks and the hook where the frame would hang is longer and on some things we hang makes it more difficult to hang and some other things easier. That's the reason for only 3 stars,neutral
19038,It took away some of the features of XP for no good reason or I would have given it 5 stars maybe. It did install without a hitch.,neutral
104315,You sent me a set of broken headphones. Can you please replace them?? Other than that it's a great product.  Thank You,neutral
112861,I cannot get the program to print envelopes properly. Error message says wrong size paper. Tried everything. Old version worked OK.,neutral
78349,"Because the basic software is business oriented, some of the features are not of much use.  Looking forward to exploring the new features.",neutral
42952,Its ok. Not really what I was expecting. A lot of the sets look the same to me.not really that useable on a professional level.,neutral
84909,Norton is okay - however it did screw up our computers initially - not sure I will purchase Norton again -,neutral
32969,"At first its hard to install and needed to call tech support for help, be paitient. Would like to see easier installation. Otherwise its ok.",neutral
26016,"It's ok.  Actually, its a good deal for the money.<br /><br />I'd suggest Rosetta Stone AND this product.  Rosetta teaches you like a five year old, which is good.  This product teaches you like a 10 year old, which is also good.",neutral
112257,"If you do any PowerPoint, Smart Notebook, or other computer generated presentations, this is a great resource to add visual impact.  It could use descriptive file names for rapid searching.",neutral
67051,This is a good reverence guide if you want to learn Microsoft Office 2010 or Windows 7.  The book is a little dry because of the way it was written.  This is a great reference guide because of all the information in this book.,neutral
11796,it's ok. nothing to rave about,neutral
87371,It is hard to follow some of the instructions and use some of the areas.  I am not a pro and this requires quite a bit of study at times.  Otherwise it is ok.,neutral
83098,This family history program was okay at first. Then came the job of adding in sources. I thouth they could have done a better job making it understandable rather than the myriad fields to fill out and the additional pop-up boxes to fill in.,neutral
109315,I should have read the fine print.  I thought i was getting Outlook 2010 with this disc download and I already have the programs offered on this disc built in to my computer.,neutral
70322,This was ok.  My daughter (7) will play with it every now and then.  It just doesn't seem to be anything extra special.,neutral
8785,It's MS.  OK is all any of their software is,neutral
57893,"Not very happy with the product.  If you must run QuickBooks, you will want to run the Windows version via Parallels or similar. QuickBooks for Mac lacks even basic functionality that should be included.",neutral
36439,"Wish there was a book with it. Can't get the directions downloaded either. Love what I can do with this software, though.",neutral
14925,Its ok. Typical Adobe product,neutral
59660,Decent Enough game if you are playing it for nostalgia Reasons or even if you are not and you just like the hobbit Book.,neutral
63842,"happy with my purchase, having a little difficulty with hook ups, be in the long run will be quite happy",neutral
12724,It's ok.  Not Windows 8.1 compatible,neutral
18520,It's okay. Could be better.,neutral
87578,Graphics good though play could have been a little more challenging.  Story line interesting and original.  Okay game though normal for Viva Media software.,neutral
101854,"Its ok, not like the other x-com games. It was purchased for a friend. Not much feedback, jus its ok.",neutral
101864,"A bit confusing at first to set up, it certainly took awhile.  Am still getting used to this Parallels 6, seems almost too simple to work with now.",neutral
88882,I don't like the new look or features of 2013. The updates screw things up and I've had to start over from my old version a number of times. I wish Money would have never gone away.,neutral
96448,very hard to install. took at least 45 to 60 minutes to install. directions very difficult to understand. had to re-start computer serveral times.,neutral
109346,"This item seemed ok.  I have not found it easy to find the process to use it for my purpose, which is daily readings of my choice.",neutral
62175,It's ok. I just decided to purchased the Rosetta Stone software because of the proven results. I still own this software and have given it to my son so he can learn the basics.,neutral
105643,"This product just in not big enough for my computer for what I was looking for. I need a bigger, more expensive type of Dragon. Iam this a good product for the beginner.    Sincerely,  David Kahle-Super Chef",neutral
