id,review_body,tokenized_text
86341,"as usual, turbo tax meets all my tax preparation expectations.  it asks all the right questions to make sure i enter in everything necessary to file my taxes and take advantage of all deductions.  great job turbo tax","[101, 2004, 5156, 1010, 15386, 4171, 6010, 2035, 2026, 4171, 7547, 10908, 1012, 2009, 5176, 2035, 1996, 2157, 3980, 2000, 2191, 2469, 1045, 4607, 1999, 2673, 4072, 2000, 5371, 2026, 7773, 1998, 2202, 5056, 1997, 2035, 2139, 16256, 2015, 1012, 2307, 3105, 15386, 4171, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
109919,"don't buy this product if you are expecting the comprehensive application from earlier years.  this is named the same (just different year), but lacks the very important ability to produce living trusts.","[101, 2123, 1005, 1056, 4965, 2023, 4031, 2065, 2017, 2024, 8074, 1996, 7721, 4646, 2013, 3041, 2086, 1012, 2023, 2003, 2315, 1996, 2168, 1006, 2074, 2367, 2095, 1007, 1010, 2021, 14087, 1996, 2200, 2590, 3754, 2000, 3965, 2542, 20278, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23430,great educational software,"[101, 2307, 4547, 4007, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79562,os 10.5.6 would not allow applications in ilife to open.<br />glitches with quicken 2006 had to be corrected.<br />don't know other applications that are problems because i haven't tried to open most of the lesser used ones.,"[101, 9808, 2184, 1012, 1019, 1012, 1020, 2052, 2025, 3499, 5097, 1999, 6335, 29323, 2000, 2330, 1012, 1026, 7987, 1013, 1028, 1043, 15909, 8376, 2007, 4248, 2368, 2294, 2018, 2000, 2022, 13371, 1012, 1026, 7987, 1013, 1028, 2123, 1005, 1056, 2113, 2060, 5097, 2008, 2024, 3471, 2138, 1045, 4033, 1005, 1056, 2699, 2000, 2330, 2087, 1997, 1996, 8276, 2109, 3924, 1012, 102, 0, 0]"
111766,i am very disappointed in this product.  my computer is still very slow starting and running.  i have seen absolutely no difference in the preformance of my computer.,"[101, 1045, 2572, 2200, 9364, 1999, 2023, 4031, 1012, 2026, 3274, 2003, 2145, 2200, 4030, 3225, 1998, 2770, 1012, 1045, 2031, 2464, 7078, 2053, 4489, 1999, 1996, 3653, 14192, 6651, 1997, 2026, 3274, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40421,no! i still can't get it to work right! the first registration # didn't work. company gave me a new one but it plays without responding to the answers you have given.,"[101, 2053, 999, 1045, 2145, 2064, 1005, 1056, 2131, 2009, 2000, 2147, 2157, 999, 1996, 2034, 8819, 1001, 2134, 1005, 1056, 2147, 1012, 2194, 2435, 2033, 1037, 2047, 2028, 2021, 2009, 3248, 2302, 14120, 2000, 1996, 6998, 2017, 2031, 2445, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53942,"initially it never arrived i suppose due to christmas,but after contacting them they sent me a download code which was very helpful<br />and eventually the software arrived ,so jolly good show everyone was happy in the end.","[101, 3322, 2009, 2196, 3369, 1045, 6814, 2349, 2000, 4234, 1010, 2021, 2044, 3967, 2075, 2068, 2027, 2741, 2033, 1037, 8816, 3642, 2029, 2001, 2200, 14044, 1026, 7987, 1013, 1028, 1998, 2776, 1996, 4007, 3369, 1010, 2061, 22193, 2204, 2265, 3071, 2001, 3407, 1999, 1996, 2203, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30887,not compatible with my computer.  a total waste of money.,"[101, 2025, 11892, 2007, 2026, 3274, 1012, 1037, 2561, 5949, 1997, 2769, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20943,it said it would work on any windows 8 but it don't work on mine,"[101, 2009, 2056, 2009, 2052, 2147, 2006, 2151, 3645, 1022, 2021, 2009, 2123, 1005, 1056, 2147, 2006, 3067, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76374,"i am very proficient with computers and most software.  this is not user friendly! their tutorial is a joke.  under the user guide, it doesn't talk about half the things it advertises.  frustrating-don't purchase!","[101, 1045, 2572, 2200, 27029, 2007, 7588, 1998, 2087, 4007, 1012, 2023, 2003, 2025, 5310, 5379, 999, 2037, 14924, 4818, 2003, 1037, 8257, 1012, 2104, 1996, 5310, 5009, 1010, 2009, 2987, 1005, 1056, 2831, 2055, 2431, 1996, 2477, 2009, 4748, 16874, 13087, 1012, 25198, 1011, 2123, 1005, 1056, 5309, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
