ID,review_body,sentiment
48841,Purchased several versions of turbo tax.  Great product and tax tool.  Very user friendly and great online help and resources.,positive
52972,"I was told that the mac version of quickbooks was not near as good as the pc version. I have had no problems switching over. There are differences in the program that take some getting used to, but nothing huge.",positive
28731,The book helped greatly with   the side quest's  thank you again,positive
16810,"I had elements 9 and this is a nice jump forward. So many features, that it will take me some time to learn the finer points.",positive
22353,I find Quicken 2015 provides all the necessary tools to make managing my finances very easy and reliable. The credit score monitoring within the application is very nice and useful for tracking any unusual changes that could occur.,positive
64850,Great software that takes care of virtually all accounting needs of a small business.  Some aspects of user interface could be simplified and made more intuitive.,positive
16795,excellent. I received my refund in 14 days,positive
96196,Was delivered promptly a couple days before they said it would arrive. Got it for a fantastic price. Have not had time to play with it yet but know its a great photo editing product.,positive
62417,Right product with all Enterprise version functonality. Good product for Developer and Admins to learn new features. Great product. Thanks.,positive
116988,I find since I started using turbotax that I dont have a headache doing my returns and this year we got to file electronically on line for free and received a refund in days a good product and pretty easy to use,positive
96860,"I recieved one disc and after playing I relized that there is in fact all three. Go to the fountain and it takes you to the different ones. Going to play the first one and work my way up. Wasted many rainy hours playing this addicting game, awesome.",positive
26466,The purchase and delivery were flawless.  Software worked perfect.<br /><br />Thank you,positive
6053,Exactly what I needed! And now that I have loaded all the updates it is perfect for me.,positive
4168,"It's quite functional and it does all the jobs it needs to, but its UI is just a bit klunky. It's a very nice upgrade from Vista, but perhaps Windows 7 would be better for beginners unless you happen to have a touchscreen.",positive
66841,"Unfortunately I have to have Mcxxxx junk on my machine for work, but Kaspersky works great on my wife's desktop and laptop.  It catches things that Mcxxx junk doesn't.  That's what it's all about.  Thank you Amazon for having it!",positive
10909,Magix has perfected their studio. The vocals sound magnificent and you get as many instruments as FL Studio: producer edition. This is great 55 dollars and a must have for home studios. But it!,positive
131184,"This is a great product - but I think it retails for $2,000 not $20,000",positive
90339,So many possibilities! More user friendly.  Speed up your enhancements. Great for new bee or professional. No plug-ins required. U will love it!,positive
132717,"Besides its other good features reviewed elsewhere, this program makes full use of the Sony Clie folding keyboard features.  This aspect alone makes it a worthwhile purchase if you are using such a keyboard.",positive
80663,My nephew is an IT and sets up networks for major big box stores. Say they wouldnt be without ESET. I use it on MAC. Nice.,positive
112209,"My disc works great (though vista tried to fight it a little). Absolutely wonderful flashback to my childhood. This game is aesthetically pleasing, fun, AND educational. It's my favorite of the mDos games- even better than oragon trail!",positive
32878,It worked great was simple to use and was exactly what I needed to restore my laptop to working order.  Thanks for the great value on a great product!,positive
20900,Worked great. No problems.,positive
77883,Needed a newer version for windows 7. My old one wouldn't run on it. This is just as good maybe better.,positive
134008,"It's COOL! 'ALPHABET' CD-ROM was created from the book by Kveta Pacovska. Letters are characters on the stage, they play and sound in random. It's good for kids to start to play with computer CD-titles.",positive
93754,The software came in about a week I immediately installed it and stated to input my stamps. This software is easy to use and its a great way to value my collection.<br />I would recommend it to anyone who needs an update value.,positive
58634,Works very well. Its a little difficult to get used to and find the tracks but it is good video editor.  Check YouTube for tutorials,positive
37550,"Good purchase, good vendor. No complaints what so ever.",positive
91910,"I have a 3 year old laptop that was running sloooooooooooow, but since installing and using System Mechanic everything's back to it full speed, great product!!!",positive
31554,Good product. The only problem though is the compatibility with certain video files. It did not accept all my HDV clips. For this reason I had to switch to Cyberlink Ultimate. I however recognize it as a great product.,positive
49032,Enjoy the products works as intended.  Seems like a good upgrade with support for tablets and phones..  Would recommend to friends.,positive
108186,I have used this program since Windows 95.  Very satisfied.  More accurate than other programs when it comes to placing an address in the correct place on a street.  Printouts very nice.,positive
93167,I've had pretty good luck with McAfee products over the years and bought this to protect an older PC of mine and it has worked well.,positive
15738,"Works great, and is super fun.",positive
13327,"Very happy with the customer service I received.  In fact, it actually restored my faith in customer service as generally you get someone who doesn't know anything nor do they care.  This gal took perfect care of me and I am very satisfied.",positive
57225,There are so many things that you can do with Quickbooks. It truly is a great answer for almost any business!,positive
126601,This is a really good way to study. The program is fun and easy to use.,positive
10230,Easy to use and worked great.,positive
51206,"For the person that likes to stay in control of their finances, this is a perfect tool to keep in your toolbox. Stays up to date on changes in the tax code, and makes error free tax filing a breeze!",positive
56184,after daughter filled it up with addresses and names. really like it. also nice for lists. that I can print at once,positive
26200,"Works great as always , have used this brand for years.",positive
73047,"I have a macbook air 13', I downloaded the free 30day trail and decided to purchase. I needed the product key but this packaged contained the cd with product key on the back. Great buy and fast shipping.",positive
20081,"Only used it once so far, a bit hard to figure out for an old guy like me. works good.",positive
85061,"I bought this, but re-sold it as soon as I got Windows 7.  Regardless, it is a nice software, but 7 is SSD capable.",positive
58026,Purchased the Lacy Snowflakes from Amazon at a fantastic price. I've embroidered 6 different designs and all have turned out beautifully. They make great ornaments and gifts.,positive
100376,"Good fun. Played both on Wildtangent. White Wolf is the better of the two, but they both are excellent Her Interactive games.[[ASIN:B003AYJWIY Nancy Drew: Double Dare 6 (The White Wolf of Icicle Creek / Legend of the Crystal Skull)]]",positive
4003,Great value. It does everything I needed for less than expected.,positive
124887,"Excellent simulation with tacticts & training....one of the best I have ever seen.Hadde it back on my 95 machine, looking for a XP version now.",positive
104393,"Great price, item was hard to get to load, but finally got it to install and it works great, Amazon has the BEST PRICES, why shop anywhere else.",positive
49621,"Just want I expected from the program.  great purchase, easy to set up, can have more than one user.<br />Easy to follow,",positive
33290,worked good. McAfee upgraded once downloaded on computer.,positive
70475,I'm going to be building a house in CO next year and used this to layout and plan in great detail that house. It will go straight to the architect to draft the blueprints. Easy to use and exceptionally capable.,positive
10874,Very please with shipping time. This product is perfect for someone learning to draw on a computer and by hand. My daughter has taken what she has learned to do on the computer and is now doing drawings by hand.,positive
95524,"Titanium Internet Security is a very good, Cheap and reliable product. Very much worth your money, No where else can you buy it for this price. Must Buy.",positive
27881,Buen producto.<br /><br />good product,positive
34388,"Hours of challenging fun, great price, great service!",positive
12165,Great as usual.  I have used Turbo Tax for the past several years.  I do both my busniess & personal returns with Turbo Tax.,positive
14963,Good product. Fast shipment. Received earlier than expected. Thank you!,positive
110970,Easy to use with a well designed user interface.  Good value for the license fee,positive
9347,Nice vector graphics software with a bunch of neat animation functions (still haven't figured out how to use half of them but oh well),positive
60279,"The product is great, just know what you want to ask support before you call them and you will have no problems.  I would recommend the desktop version to anyone looking for a simple accounting package",positive
112924,this product came very fast and is a great product.  it is a little tough at first to get used to but with practice it becomes easy,positive
85507,"This is a great product for editing video and audio files, though it can sometimes be a bit picky. There's a learning curve to it that can take a while if you are moving from free products, but once you've learned it you're good to go.",positive
26688,Great ! fantastic ! easy installation !,positive
105873,All four products arrived quickly and in good shape. All four products worked exactly as advertized and as expected. Great job Amazon!,positive
67746,Excellent product.  Highly recommend for network use. User friendly and works well in windows XP.  Do not buy stand alone version.,positive
101674,I have  used a number of versions of Home Lawyer and have always found it useful.  It is great for most families to use.,positive
84673,Would possibly purchase again if necessary.  Not perfect but does well will burning CDs and fixing red eye in pictures.,positive
61576,GREAT AFFORDABLE SP-1 A MUST HAVE BACK UP DISK.IT WILL WORK AS FULL INSTALL IN ANY COMPUTER.<br />THE KEY PRODUCTS ARE GENUINE.,positive
41373,"I bought this system for a new pc that I built. It arrived ahead of schedule and installed perfectly. I recommend you buy this product, it is the perfect operating system. You will not be disappointed.",positive
98569,It is a good product  I got it on time  The quality is good as well  Just good words I can say,positive
3140,"The only reason I don't give this program 5 stars is because of its very limited functionality with 16 bit images. Otherwise, great program and works on Windows 8. PS VII rocks!",positive
104645,This product is a great addition to my Apple Mac Pro. It filters the dangerous web sites and hunts down and kills all harmful files on my machine. Bravo Kaspersky!,positive
950,"After reading reviews on other brand power cords, I opted to pay a little extra for a Nintendo brand. Worth it. Works great.",positive
7163,works great you can buy it with confidence,positive
16029,Product was two pages containing activation code. Arrived on time and worked great.,positive
40060,I have got several products from these folks and they are great. Fast shipping and the art sure saves a lot of time even if you are editing there art to fine tune it for your project. Will be getting more from them !!!,positive
