id,review_body,sentiment
48841,purchased several versions of turbo tax.  great product and tax tool.  very user friendly and great online help and resources.,positive
52972,"i was told that the mac version of quickbooks was not near as good as the pc version. i have had no problems switching over. there are differences in the program that take some getting used to, but nothing huge.",positive
28731,the book helped greatly with   the side quest's  thank you again,positive
16810,"i had elements 9 and this is a nice jump forward. so many features, that it will take me some time to learn the finer points.",positive
22353,i find quicken 2015 provides all the necessary tools to make managing my finances very easy and reliable. the credit score monitoring within the application is very nice and useful for tracking any unusual changes that could occur.,positive
64850,great software that takes care of virtually all accounting needs of a small business.  some aspects of user interface could be simplified and made more intuitive.,positive
16795,excellent. i received my refund in 14 days,positive
96196,was delivered promptly a couple days before they said it would arrive. got it for a fantastic price. have not had time to play with it yet but know its a great photo editing product.,positive
62417,right product with all enterprise version functonality. good product for developer and admins to learn new features. great product. thanks.,positive
116988,i find since i started using turbotax that i dont have a headache doing my returns and this year we got to file electronically on line for free and received a refund in days a good product and pretty easy to use,positive
96860,"i recieved one disc and after playing i relized that there is in fact all three. go to the fountain and it takes you to the different ones. going to play the first one and work my way up. wasted many rainy hours playing this addicting game, awesome.",positive
26466,the purchase and delivery were flawless.  software worked perfect.<br /><br />thank you,positive
6053,exactly what i needed! and now that i have loaded all the updates it is perfect for me.,positive
4168,"it's quite functional and it does all the jobs it needs to, but its ui is just a bit klunky. it's a very nice upgrade from vista, but perhaps windows 7 would be better for beginners unless you happen to have a touchscreen.",positive
66841,"unfortunately i have to have mcxxxx junk on my machine for work, but kaspersky works great on my wife's desktop and laptop.  it catches things that mcxxx junk doesn't.  that's what it's all about.  thank you amazon for having it!",positive
10909,magix has perfected their studio. the vocals sound magnificent and you get as many instruments as fl studio: producer edition. this is great 55 dollars and a must have for home studios. but it!,positive
131184,"this is a great product - but i think it retails for $2,000 not $20,000",positive
90339,so many possibilities! more user friendly.  speed up your enhancements. great for new bee or professional. no plug-ins required. u will love it!,positive
132717,"besides its other good features reviewed elsewhere, this program makes full use of the sony clie folding keyboard features.  this aspect alone makes it a worthwhile purchase if you are using such a keyboard.",positive
80663,my nephew is an it and sets up networks for major big box stores. say they wouldnt be without eset. i use it on mac. nice.,positive
112209,"my disc works great (though vista tried to fight it a little). absolutely wonderful flashback to my childhood. this game is aesthetically pleasing, fun, and educational. it's my favorite of the mdos games- even better than oragon trail!",positive
32878,it worked great was simple to use and was exactly what i needed to restore my laptop to working order.  thanks for the great value on a great product!,positive
20900,worked great. no problems.,positive
77883,needed a newer version for windows 7. my old one wouldn't run on it. this is just as good maybe better.,positive
134008,"it's cool! 'alphabet' cd-rom was created from the book by kveta pacovska. letters are characters on the stage, they play and sound in random. it's good for kids to start to play with computer cd-titles.",positive
93754,the software came in about a week i immediately installed it and stated to input my stamps. this software is easy to use and its a great way to value my collection.<br />i would recommend it to anyone who needs an update value.,positive
58634,works very well. its a little difficult to get used to and find the tracks but it is good video editor.  check youtube for tutorials,positive
37550,"good purchase, good vendor. no complaints what so ever.",positive
91910,"i have a 3 year old laptop that was running sloooooooooooow, but since installing and using system mechanic everything's back to it full speed, great product!!!",positive
31554,good product. the only problem though is the compatibility with certain video files. it did not accept all my hdv clips. for this reason i had to switch to cyberlink ultimate. i however recognize it as a great product.,positive
49032,enjoy the products works as intended.  seems like a good upgrade with support for tablets and phones..  would recommend to friends.,positive
108186,i have used this program since windows 95.  very satisfied.  more accurate than other programs when it comes to placing an address in the correct place on a street.  printouts very nice.,positive
93167,i've had pretty good luck with mcafee products over the years and bought this to protect an older pc of mine and it has worked well.,positive
15738,"works great, and is super fun.",positive
13327,"very happy with the customer service i received.  in fact, it actually restored my faith in customer service as generally you get someone who doesn't know anything nor do they care.  this gal took perfect care of me and i am very satisfied.",positive
57225,there are so many things that you can do with quickbooks. it truly is a great answer for almost any business!,positive
126601,this is a really good way to study. the program is fun and easy to use.,positive
10230,easy to use and worked great.,positive
51206,"for the person that likes to stay in control of their finances, this is a perfect tool to keep in your toolbox. stays up to date on changes in the tax code, and makes error free tax filing a breeze!",positive
56184,after daughter filled it up with addresses and names. really like it. also nice for lists. that i can print at once,positive
26200,"works great as always , have used this brand for years.",positive
73047,"i have a macbook air 13', i downloaded the free 30day trail and decided to purchase. i needed the product key but this packaged contained the cd with product key on the back. great buy and fast shipping.",positive
20081,"only used it once so far, a bit hard to figure out for an old guy like me. works good.",positive
85061,"i bought this, but re-sold it as soon as i got windows 7.  regardless, it is a nice software, but 7 is ssd capable.",positive
58026,purchased the lacy snowflakes from amazon at a fantastic price. i've embroidered 6 different designs and all have turned out beautifully. they make great ornaments and gifts.,positive
100376,"good fun. played both on wildtangent. white wolf is the better of the two, but they both are excellent her interactive games.[[asin:b003ayjwiy nancy drew: double dare 6 (the white wolf of icicle creek / legend of the crystal skull)]]",positive
4003,great value. it does everything i needed for less than expected.,positive
124887,"excellent simulation with tacticts & training....one of the best i have ever seen.hadde it back on my 95 machine, looking for a xp version now.",positive
104393,"great price, item was hard to get to load, but finally got it to install and it works great, amazon has the best prices, why shop anywhere else.",positive
49621,"just want i expected from the program.  great purchase, easy to set up, can have more than one user.<br />easy to follow,",positive
33290,worked good. mcafee upgraded once downloaded on computer.,positive
70475,i'm going to be building a house in co next year and used this to layout and plan in great detail that house. it will go straight to the architect to draft the blueprints. easy to use and exceptionally capable.,positive
10874,very please with shipping time. this product is perfect for someone learning to draw on a computer and by hand. my daughter has taken what she has learned to do on the computer and is now doing drawings by hand.,positive
95524,"titanium internet security is a very good, cheap and reliable product. very much worth your money, no where else can you buy it for this price. must buy.",positive
27881,buen producto.<br /><br />good product,positive
34388,"hours of challenging fun, great price, great service!",positive
12165,great as usual.  i have used turbo tax for the past several years.  i do both my busniess & personal returns with turbo tax.,positive
14963,good product. fast shipment. received earlier than expected. thank you!,positive
110970,easy to use with a well designed user interface.  good value for the license fee,positive
9347,nice vector graphics software with a bunch of neat animation functions (still haven't figured out how to use half of them but oh well),positive
60279,"the product is great, just know what you want to ask support before you call them and you will have no problems.  i would recommend the desktop version to anyone looking for a simple accounting package",positive
112924,this product came very fast and is a great product.  it is a little tough at first to get used to but with practice it becomes easy,positive
85507,"this is a great product for editing video and audio files, though it can sometimes be a bit picky. there's a learning curve to it that can take a while if you are moving from free products, but once you've learned it you're good to go.",positive
26688,great ! fantastic ! easy installation !,positive
105873,all four products arrived quickly and in good shape. all four products worked exactly as advertized and as expected. great job amazon!,positive
67746,excellent product.  highly recommend for network use. user friendly and works well in windows xp.  do not buy stand alone version.,positive
101674,i have  used a number of versions of home lawyer and have always found it useful.  it is great for most families to use.,positive
84673,would possibly purchase again if necessary.  not perfect but does well will burning cds and fixing red eye in pictures.,positive
61576,great affordable sp-1 a must have back up disk.it will work as full install in any computer.<br />the key products are genuine.,positive
41373,"i bought this system for a new pc that i built. it arrived ahead of schedule and installed perfectly. i recommend you buy this product, it is the perfect operating system. you will not be disappointed.",positive
98569,it is a good product  i got it on time  the quality is good as well  just good words i can say,positive
3140,"the only reason i don't give this program 5 stars is because of its very limited functionality with 16 bit images. otherwise, great program and works on windows 8. ps vii rocks!",positive
104645,this product is a great addition to my apple mac pro. it filters the dangerous web sites and hunts down and kills all harmful files on my machine. bravo kaspersky!,positive
950,"after reading reviews on other brand power cords, i opted to pay a little extra for a nintendo brand. worth it. works great.",positive
7163,works great you can buy it with confidence,positive
16029,product was two pages containing activation code. arrived on time and worked great.,positive
40060,i have got several products from these folks and they are great. fast shipping and the art sure saves a lot of time even if you are editing there art to fine tune it for your project. will be getting more from them !!!,positive
130313,"what a great product!  it covers tons of pre-algebra topics, and actually solves the problems that you enter with explanations on each step.  very helpful program, my grades have been on the rise since using this program!",positive
43123,"its very excellent ,faster ,accurate and easy software i never used like that software before .the price its very good",positive
100636,installation easy with windows 7 64 bit.  works as advertised except conversion to microsoft word not very good.  the recognize text function is much faster than previously.,positive
98900,at first i was upset because amazon listed this product as a disk and not a download.  i contacted the seller and they were great in sending me the disk version.  c w vaughan,positive
