ID,review_body,sentiment
77786,Too often I am in the middle of a paper and it will say &#34;Adobe Acrobat has stopped working&#34; I have to close the program and I have lost all the data entered.  For the money I REALLY do not like it!,negation
8868,"Installed ok, great video but NO SOUND.  Could not get satisfactory help from website.  Returned.",negation
78403,"As with most Corel products I've worked with, I found this one to be easy to utilize.<br /><br />I unfortunately cannot claim to have used it beyond a brief cursory way as I traded my PC for a Mac within a few weeks of receiving this product.",negation
98594,"Do not waste your money, could not install this game, we try in two computers, Compaq and Dell, both with Windows, with no success, and since we have to open the software trying install it now we can not return and get our money back.",negation
96545,"This product, even though not perfect, seems to work well for a small business were invoices are needed.  It keeps track of the jobs and the price for the program is cheap.",negation
87090,"It's okay, but to arcane for the non-geek. I would recommend that you not buy this unless you are computer and computer programing savey.",negation
127997,first it repeatedly kept telling me i was using it for frist time.  after repeated use. <br />then it would not record using the timer.    <br />no tech support for the product exists.    <br />don't waste your money on this product.,negation
120189,Product was not as advertised. It was advertised as full version upon reciept I discovered that it was only an upgrade.  The company apologized and promptly refunded my money.,negation
2286,"It says that this is Latin American Spanish, but it castillia and pronunciation is not right for latin america.",negation
39676,Never got my computer system set up,negation
40340,Do not buy  not buy  fake  and  can not register with Microsoft,negation
104508,This item came like it shoud have but was outdated and could not download forms to send taxes off. So this item was basicly worthless to me. Money thrown down drain.,negation
105903,AWESOME! just have windows XP or lower...it has all levels...that i can remember and all cheats work. install or play strait from disk by exploring it. Nothing much else to say IT IS DOOM! IT ROCKS...,negation
18329,This won't install on a Windows 8 machine unless you change compatibility settings.  Seems like a major oversight since Windows 8 has been out for a long time now.,negation
68425,This product did not provide the service as advertised.  It was returned to Amazon.  I got it for my grandson and it simply did not deliver as expected.,negation
96959,Causes no end of problems while using word and generates ambiguous and therefore unhelpful error messages. The least intuitive interface I've ever encountered.,negation
109099,I have not been able to use 2010 Quick Book with my bank and this was my main reason for buying Quick Book the new version.Any sugestions would help.,negation
25201,could not install media center without upgrade to 8.1 pro for additional $100.  this really soured me on the product.,negation
78277,Recieved it on time. Dates on box and CD were different but it did install on all 3 computers so I have no complaints.,negation
32269,"Arrived promptly and no trouble downloading. These games, in my view, would be most appropriate for children or young teens. Worth the purchase price.",negation
73999,Only using this because my office software is not available for mac.  I hate windows.  I hate windows.  I hate windows...,negation
55986,Product is as described. The only disappointment is the Good Will sticker on the front with price tag and dusty cover. When purchasing a product from amazon it would be nice not to find these things on the packages.,negation
105305,"I have been using Taxcut for many years along with deduction pro.  This year deduction pro is a web app that is absolutely terrible!    Cannot save anything, drops entry's, just a waste of my time!",negation
55743,Too complicated for a 90 year old man!!!  Explanations and glossary of terms would help a lot.  Why no simple manual for people who do not have the expertise or experience in this field?,negation
