ID,review_body,sentiment
132413,Don't fall for any rebate offers Roxio advertises.<BR>It's a farce.,negative
75353,way to expensive . need to be a highly trained in computer science to even begin to understand exell . a total waste of my money !,negative
16997,There is a huge BUST in the Massachusetts State form that has cost me money.  When I try to discuss this with Turbo Tax Representative they HANG UP the phone on me after making me wait for 30 minutes.<br /><br />There GUARANTEE IS RUBBISH.,negative
42904,I bought this to help a family member recover some files. But there are built in files that actually do what this software claims to do.  Was a waste of time and money.,negative
2615,This is a disaster to Windows 8.1. Messed up my registery so bad I am going to have to wipe the hard drive.Be careful,negative
2167,"I don't care for this , very intrusive and safe money is very aggervating",negative
125347,"Doesn't work, rejects all DVD formats despite new Dell Inspiron E1505 laptop with DVD +/- RW capability. Save your money, customer support (and you'll need it) will cost you $160 - more than you'll actually spend on the software! Don't be fooled!!!",negative
68715,"I have always trusted this antivirus but this time has become a real problem, I have tried to install it in a couple of computers and it doesn't work, it says that it has been installed in the three computers already!",negative
71882,This product doesn't work on Windows 7 64 bit<br /> I am VERY DISAPPOINTED in this Hallmark card studio. I have one from 2007 it was a great product. What happened I thought new would be better.,negative
70503,Don't want it on my PC anymore because it freeze's it up&my kids think it's way to easy??I'd like to return it&I'll just get a app for my tablet??,negative
116962,Dont waste your money its pure trash I didnt even play throuth the first level,negative
127734,"I received this and it doesn't even state that it is for a Mac on the package, and it certainly wouldn't work on my IMac",negative
14289,Too hard to use. It was supposed to make the process easier but it did just the opposite.  Took forever to register. Just a bad experience.,negative
108646,"This is a dirty deal! Having to upgrade just to use the online feature is a scummy way to extort money from customers. 2007 works fine for my purposes but features expire over time, like faxing an invoice and statement update<br />Boo, bad business!",negative
79581,The Nuance/Dragon tech support and customer service are really skilled at telling you about things that don't work or functionalities you don't have after you'd told them that things don't work or functionalities don't exist.,negative
58426,"I like this product ,the only thing bad is, it requires some time to teach the software your accent. some times it type wrong.",negative
33047,"Ordered a Game, when it arrived everything was broken, wish I could get a refund.",negative
121339,VHS To DVD is properly the worst of the capture edit software I have used.  There is much freeware that is better.  I really wasted my money on this one.    Ronald Lankford.............,negative
95031,Freezes crashes makes me insane (PC User) waste of money. My computer is brand new and this software is making me I crazy,negative
132987,"Beware! This product won't work with Windows NT or W2000! It only works with W98 or Me. If you have W2000 you must buy the Professional edition ... which doesn't seem to have any real additional features, it just costs ... more.",negative
